月份,住宅建设投资额_累计值,住宅建设投资额_累计增长,住宅施工面积_累计值,住宅施工面积_累计增长,住宅竣工面积_累计值,住宅竣工面积_累计增长,地区
200904,10.2414,37.2,390.7678,12.8,26.9945,-29.3,青海省
200905,17.5275,35.5,582.072,24.7,37.0284,-17.9,青海省
200906,30.6878,38.7,763.3999,35.2,57.6481,4.4,青海省
200907,43.7231,37.3,837.8277,33.0,66.3188,-0.1,青海省
200908,53.7838,39.0,897.0749,33.1,76.2604,4.8,青海省
200909,60.4695,36.1,912.6215,28.2,97.1952,20.3,青海省
200910,65.9452,34.7,932.1587,23.6,147.7178,32.7,青海省
200911,70.2194,28.2,975.7061,24.2,168.9001,13.3,青海省
200912,70.9445,27.8,981.6908,20.1,236.336,-9.0,青海省
201001,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201002,0.011,-95.3,548.5962,-0.5,0.0,0.0,青海省
201003,3.2124,-21.3,767.2564,398.5,8.9672,-52.9,青海省
201004,9.5838,-6.4,973.7263,149.2,20.7175,-23.3,青海省
201005,19.2234,9.7,1144.6353,96.6,69.5243,87.8,青海省
201006,39.0747,27.3,1286.1713,68.5,81.4908,41.4,青海省
201007,60.2164,37.7,1491.6129,78.0,120.3145,81.4,青海省
201008,78.7182,46.4,1558.7928,73.8,143.2169,87.8,青海省
201009,91.7297,51.7,1634.7395,79.1,179.6548,84.8,青海省
201010,100.6805,52.7,1766.9819,89.6,213.4266,44.5,青海省
201011,110.7221,57.7,1815.4384,86.1,374.6015,121.8,青海省
201012,114.3245,52.0,1828.9686,74.7,421.2853,62.2,青海省
201101,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201102,0.495,2375.0,900.5733,63.9,3.732,0.0,青海省
201103,6.3051,60.6,1173.6378,45.6,65.7194,0.0,青海省
201104,18.7657,70.3,1524.3743,50.0,80.5597,173.2,青海省
201105,41.8741,92.2,1880.6417,53.0,116.7087,51.3,青海省
201106,70.3569,61.0,2218.6583,54.3,153.1192,52.2,青海省
201107,110.1679,67.4,2399.5983,46.0,189.7073,33.4,青海省
201108,154.0039,76.2,2978.494,68.3,248.2727,49.3,青海省
201109,199.1318,88.9,3270.5422,61.6,368.2947,67.8,青海省
201110,226.391,85.4,3433.6817,56.9,687.4059,150.1,青海省
201111,251.0408,84.6,3493.8209,53.0,984.6862,108.1,青海省
201112,253.0519,81.3,3541.0605,54.1,1043.7754,100.6,青海省
201201,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201202,1.0875,119.7,729.6621,-19.0,0.0,0.0,青海省
201203,7.1687,13.7,1029.6072,-12.3,16.2886,-75.2,青海省
201204,29.7642,58.6,1532.6321,0.5,46.4426,-42.4,青海省
201205,59.3785,41.8,1980.7358,5.3,104.7512,-10.2,青海省
201206,90.786,29.0,2206.0573,-0.6,125.4047,-18.1,青海省
201207,121.523,10.3,2375.121,-1.0,154.9394,-18.3,青海省
201208,151.1627,-1.8,2425.6067,-18.6,180.4853,-27.3,青海省
201209,188.1712,-5.5,2555.4038,-21.9,199.9121,-45.7,青海省
201210,223.8196,-1.1,2768.3069,-19.4,283.1181,-58.8,青海省
201211,248.63,-1.0,2816.0122,-19.4,400.1043,-59.4,青海省
201212,252.4344,0.8,2818.2153,-20.6,536.4851,-49.2,青海省
201301,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201302,0.4654,-57.2,1102.0084,51.0,0.85,0.0,青海省
201303,10.5707,47.5,1337.0505,29.9,99.4291,510.4,青海省
201304,29.4596,-1.0,1720.5608,12.3,145.915,214.2,青海省
201305,51.6636,-13.0,1843.4627,-6.9,181.6013,73.4,青海省
201306,77.2211,-14.9,1946.3924,-11.8,203.5934,62.3,青海省
201307,113.4142,-6.7,5431.814,128.7,221.0263,42.7,青海省
201308,137.1836,-9.2,5671.4613,133.8,3601.1095,1895.2,青海省
201309,177.7932,-5.5,5832.0051,128.2,3671.9092,1736.8,青海省
201310,217.6435,-2.8,5950.8084,115.0,3760.7207,1228.3,青海省
201311,233.3856,-6.1,6042.2509,114.6,701.0,75.2,青海省
201312,237.343,-6.9,2691.5822,-5.4,737.9629,36.6,青海省
201401,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201402,0.5824,25.1,1229.2681,11.5,0.0,0.0,青海省
201403,11.6772,10.5,1418.7945,6.1,18.4174,-81.5,青海省
201404,35.9834,22.1,1613.194,-6.2,48.4354,-66.8,青海省
201405,64.1396,24.1,1699.6181,-7.8,63.3518,-65.1,青海省
201406,98.0394,27.0,1817.0837,-6.6,113.9403,-44.0,青海省
201407,131.9735,16.4,2009.1039,-63.0,177.0461,-19.9,青海省
201408,160.5489,17.0,2112.1505,-62.8,201.9951,-94.4,青海省
201409,193.1929,8.7,2182.7526,-62.6,244.2446,-93.3,青海省
201410,228.5779,5.0,2228.4562,-62.6,313.571,-91.7,青海省
201411,262.6503,12.5,2562.0433,-57.6,507.5431,-27.6,青海省
201412,263.3682,11.0,2571.3721,-4.5,616.7681,-16.4,青海省
201501,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201502,1.69,190.2,1105.1694,-10.1,0.0,0.0,青海省
201503,9.5306,-18.4,1245.5445,-12.2,25.0255,35.9,青海省
201504,38.1295,6.0,1516.9277,-6.0,73.6206,52.0,青海省
201505,74.5859,16.3,1642.6203,-3.4,99.2349,56.6,青海省
201506,110.1556,12.4,1807.2325,-0.5,118.0599,3.6,青海省
201507,145.0202,9.9,1882.1258,-6.3,131.7105,-25.6,青海省
201508,176.7916,10.1,1942.565,-8.0,159.1207,-21.2,青海省
201509,203.2819,5.2,2091.736,-4.2,192.4855,-21.2,青海省
201510,242.631,6.1,2200.1145,-1.3,267.2973,-14.8,青海省
201511,269.9871,2.8,2264.9443,-11.6,387.2168,-23.7,青海省
201512,273.2164,-0.9,2274.0906,-14.4,452.5673,-35.5,青海省
201601,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201602,3.1736,87.8,1260.9307,14.1,16.4698,0.0,青海省
201603,10.0676,5.6,1306.5104,4.9,25.0147,0.0,青海省
201604,30.5276,-19.9,1435.8258,-5.3,50.6373,-31.2,青海省
201605,64.561,-13.4,1580.8679,-3.8,60.4913,-39.0,青海省
201606,121.5203,10.3,1895.7349,4.9,93.0282,-21.2,青海省
201607,159.1938,9.8,2010.0192,6.8,187.8561,42.6,青海省
201608,207.3409,17.3,2108.2384,8.5,235.7486,48.2,青海省
201609,256.7821,26.3,2229.9934,6.6,301.0921,56.3999999999999,青海省
201610,293.1963,20.8,2331.1607,6.0,465.5005,74.2,青海省
201611,317.565,17.6,2330.2836,2.9,549.8837,42.0,青海省
201612,322.65,18.1,2387.172,5.0,568.3379,25.6,青海省
201701,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201702,2.0819,-34.4,1366.2136,8.3,0.0,0.0,青海省
201703,14.4874,43.9,1513.9966,15.9,81.8021,227.0,青海省
201704,36.7168,20.3,1513.1657,5.4,79.7459,57.5,青海省
201705,61.3482,-5.0,1590.6371,0.6,86.7242,43.4,青海省
201706,113.6058,-6.5,1700.0108,-10.3,118.3205,27.2,青海省
201707,147.934,-7.1,1739.0206,-13.5,121.3257,-35.4,青海省
201708,185.6836,-10.4,1828.0987,-13.3,131.9726,-44.0,青海省
201709,210.1691,-18.2,1852.918,-16.9,153.6514,-49.0,青海省
201710,247.5658,-15.6,1929.1635,-17.2,176.4113,-62.1,青海省
201711,284.3168,-10.5,1952.6044,-16.2,197.4015,-64.1,青海省
201712,287.5236,-10.9,1965.0097,-17.7,353.1187,-37.9,青海省
201801,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201802,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201803,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201804,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201805,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201806,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201807,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201808,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201809,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201810,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201811,0.0,0.0,0.0,0.0,0.0,0.0,青海省
201812,0.0,0.0,0.0,0.0,0.0,0.0,青海省
200801,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
200802,0.0395,-67.8,13.83,104.3,0.0,0.0,宁夏回族自治区
200803,3.0679,40.8,300.8845,111.4,8.0864,196.2,宁夏回族自治区
200804,10.3834,27.8,580.0695,26.6,12.3105,298.4,宁夏回族自治区
200805,19.6508,24.0,758.5117,31.3,21.9573,47.1,宁夏回族自治区
200806,31.5088,31.9,941.1776,40.1,42.1258,99.3,宁夏回族自治区
200807,41.7718,30.7,1007.0027,39.0,76.3361,55.8,宁夏回族自治区
200808,55.1635,33.0,1116.0153,44.6,101.3283,34.6,宁夏回族自治区
200809,70.8957,39.2,1189.5535,43.0,148.4143,39.2,宁夏回族自治区
200810,83.5553,40.4,1310.8148,43.4,179.6919,17.0,宁夏回族自治区
200811,96.5976,43.1,1368.1354,43.7,322.9043,37.7,宁夏回族自治区
200812,106.2717,40.1,1450.707,40.9,570.9703,21.2,宁夏回族自治区
200901,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
200902,0.17,327.3,33.91,145.2,0.0,0.0,宁夏回族自治区
200903,4.9028,59.8,507.2815,68.6,14.3257,77.2,宁夏回族自治区
200904,15.5597,49.9,815.59,40.6,49.8347,304.8,宁夏回族自治区
200905,29.6563,50.9,1057.5253,39.4,60.9032,177.4,宁夏回族自治区
200906,46.8284,48.6,1224.7375,30.1,92.2498,119.0,宁夏回族自治区
200907,61.2323,46.6,1334.7628,32.5,112.9347,47.9,宁夏回族自治区
200908,79.012,43.2,1441.6429,29.2,149.2986,47.3,宁夏回族自治区
200909,98.7906,39.3,1501.7588,26.2,196.9263,32.7,宁夏回族自治区
200910,113.4773,35.8,1595.917,21.7,243.86,35.7,宁夏回族自治区
200911,130.1555,34.7,1722.8319,25.9,356.3321,10.4,宁夏回族自治区
200912,141.261,32.8,1766.4072,21.3,694.8188,18.1,宁夏回族自治区
201001,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201002,0.2265,34.2,481.3319,56.3,14.9734,0.0,宁夏回族自治区
201003,6.8473,39.7,671.1145,32.3,28.9689,102.2,宁夏回族自治区
201004,22.7628,46.3,1101.3747,35.0,98.0889,96.8,宁夏回族自治区
201005,43.8714,47.9,1415.0986,33.8,160.8974,164.2,宁夏回族自治区
201006,68.7669,46.8,1749.8697,42.9,182.8389,98.2,宁夏回族自治区
201007,88.3422,44.3,1942.3302,45.5,236.9394,109.8,宁夏回族自治区
201008,113.5084,43.7,2122.3721,47.2,257.6055,72.5,宁夏回族自治区
201009,144.3661,46.1,2278.2095,51.7,303.7731,54.3,宁夏回族自治区
201010,166.7613,47.0,2334.4444,46.3,385.7482,58.2,宁夏回族自治区
201011,193.3611,48.6,2468.9096,43.3,509.5398,43.0,宁夏回族自治区
201012,209.2766,48.1,2570.5504,45.5,838.0849,19.1,宁夏回族自治区
201101,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201102,0.8813,299.9,1578.6854,228.2,18.4086,22.9,宁夏回族自治区
201103,9.4457,38.1,1771.7493,164.8,38.6922,33.6,宁夏回族自治区
201104,27.6826,22.7,1937.1919,75.2,53.4391,-45.5,宁夏回族自治区
201105,51.8261,18.5,2210.8334,55.8,111.2371,-28.9,宁夏回族自治区
201106,81.2893,18.8,2411.0326,38.1,152.9461,-13.6,宁夏回族自治区
201107,112.091,27.2,2625.7781,35.4,178.901,-22.4,宁夏回族自治区
201108,146.6683,29.8,2842.1546,33.5,238.9982,-4.8,宁夏回族自治区
201109,180.1589,25.0,3010.7408,31.7,336.3245,13.4,宁夏回族自治区
201110,214.1742,28.0,3254.0451,38.7,425.6105,11.4,宁夏回族自治区
201111,247.211,28.2,3433.4816,38.5,544.8802,5.9,宁夏回族自治区
201112,269.229,29.0,3452.032,33.8,851.2585,-1.3,宁夏回族自治区
201201,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201202,0.706,-19.9,2270.4276,43.8,26.5065,44.0,宁夏回族自治区
201203,15.5154,64.3,2580.1621,45.6,72.146,86.5,宁夏回族自治区
201204,40.547,46.5,2856.4142,47.5,110.3626,106.5,宁夏回族自治区
201205,70.1588,35.4,2990.2986,35.3,185.0005,66.3,宁夏回族自治区
201206,107.0176,31.7,3262.2075,35.3,236.5692,54.7,宁夏回族自治区
201207,144.7694,29.2,3455.9163,31.6,294.1068,64.4,宁夏回族自治区
201208,181.5097,23.8,3536.2635,24.4,363.9025,52.3,宁夏回族自治区
201209,224.262,24.5,3771.2898,25.3,489.2044,45.5,宁夏回族自治区
201210,262.6309,22.6,3941.7927,21.1,600.8595,41.2,宁夏回族自治区
201211,299.0239,21.0,4027.5654,17.3,804.1261,47.6,宁夏回族自治区
201212,322.5709,18.2,4153.7256,19.4,1031.2246,18.0,宁夏回族自治区
201301,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201302,1.1471,62.5,2622.8647,15.5,18.0858,-31.8,宁夏回族自治区
201303,16.9568,9.3,2918.5526,13.1,54.4807,-24.5,宁夏回族自治区
201304,43.0488,6.2,3074.312,7.6,101.8014,-7.8,宁夏回族自治区
201305,81.3657,16.0,3353.0422,12.1,161.3526,-12.8,宁夏回族自治区
201306,138.4369,29.4,3960.7528,21.4,219.0268,-7.4,宁夏回族自治区
201307,199.1531,37.6,4179.5492,20.9,303.883,3.3,宁夏回族自治区
201308,246.9529,36.1,4244.138,20.0,347.6275,-4.5,宁夏回族自治区
201309,307.8897,37.3,4476.3495,18.7,365.9849,-25.2,宁夏回族自治区
201310,355.9755,35.5,4597.2055,16.6,451.6324,-24.8,宁夏回族自治区
201311,397.5343,32.9,4727.7327,17.4,560.6203,-30.3,宁夏回族自治区
201312,416.4569,29.1,4803.8862,15.7,989.375,-4.1,宁夏回族自治区
201401,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201402,1.8363,60.1,3058.1641,16.6,44.6696,0.0,宁夏回族自治区
201403,19.9318,17.5,3425.6784,17.4,101.4204,86.2,宁夏回族自治区
201404,54.8633,27.4,3736.0964,21.5,163.0882,60.2,宁夏回族自治区
201405,97.6406,20.0,3940.2319,17.5,207.7398,28.7,宁夏回族自治区
201406,156.479,13.0,4149.0798,4.8,250.1165,14.2,宁夏回族自治区
201407,209.9829,5.4,4473.1375,7.0,289.4215,-4.8,宁夏回族自治区
201408,265.9787,7.7,4564.0304,7.5,352.8762,1.5,宁夏回族自治区
201409,339.1719,10.2,4728.9818,5.6,431.303,17.8,宁夏回族自治区
201410,390.6363,9.7,4849.0048,5.5,497.4928,10.2,宁夏回族自治区
201411,437.0468,9.9,4954.096,4.8,664.5114,18.5,宁夏回族自治区
201412,476.5256,14.4,5145.9499,7.1,929.5244,-6.0,宁夏回族自治区
201501,0.0,0.0,0.0,0.0,0.0,0.0,宁夏回族自治区
201502,2.4313,32.4,3577.6317,17.0,30.1408,-32.5,宁夏回族自治区
201503,24.9343,25.1,3795.15,10.8,106.8525,5.4,宁夏回族自治区
201504,56.1488,2.3,3925.72,5.1,141.5729,-13.2,宁夏回族自治区
201505,91.8073,-6.0,4083.1964,3.6,176.02,-15.3,宁夏回族自治区
201506,138.5454,-11.5,4163.811,0.4,237.3415,-5.1,宁夏回族自治区
